time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
57.0	1.0	0.2178756694925842	0.06985737802458103	0.44502168803670417	0.930142621975406	0.554978311963286	0.9105016874854605	0.06985737802458103	3.0	1.0	0.5	0.025	0.002178756694925842	0.10190134033730969	0.9056334370919422	1.3998094750588617	0.06923362727805961	0.49444471218508
58.0	1.0	0.1933562701958507	0.00621470734249889	1.3426715451714255E-4	0.9937852926574904	0.9998657328454726	0.8366100308340783	0.00621470734249889	3.0	1.0	0.5	0.025	0.001933562701958507	3.0420240501264364E-5	0.8324218933185162	0.8312353349089866	0.006183784269199832	0.013075590972998064
59.0	1.0	0.21629197705741285	0.0074992732040610475	7.560649396661256E-5	0.992500726795929	0.9999243935060239	0.905881891680366	0.0074992732040610475	3.0	1.0	0.5	0.025	0.0021629197705741285	1.730177031618451E-5	0.9013411336270353	0.8999651117664001	0.007461960580083948	0.007448025576498711
60.0	1.0	0.2389962590219131	0.008985957778320803	9.087150741194789E-5	0.9910140422216677	0.9999091284925771	0.9702197654081476	0.008985957778320803	3.0	1.0	0.5	0.025	0.002389962590219131	2.0963575309112946E-5	0.9653492529239862	0.9637478448829927	0.008941247478038228	0.00892494608041525
61.0	1.0	0.2614706739355934	0.010725315461954227	1.0884514704802793E-4	0.9892746845380347	0.9998911548529434	1.030127684041483	0.010725315461954227	3.0	1.0	0.5	0.025	0.002614706739355934	2.5277778991443747E-5	1.0249473867852972	1.023062032164285	0.010671949903852944	0.01065261755985307
62.0	1.0	0.28371677235229786	0.012786043822381953	1.3030092256346767E-4	0.9872139561776079	0.9998696990774282	1.0860432583345083	0.012786043822381953	3.0	1.0	0.5	0.025	0.0028371677235229788	3.0430124831360874E-5	1.0805704303644281	1.0783210659493596	0.012722423415506709	0.012699150062562019
63.0	1.0	0.30573586939661795	0.015263235263309331	1.5632740717454475E-4	0.9847367647366813	0.9998436725928159	1.138347742761797	0.015263235263309331	3.0	1.0	0.5	0.025	0.0030573586939661797	3.66822479756084E-5	1.132596982643956	1.1298715430906405	0.015187286955728687	0.015158793733407025
64.0	1.0	0.3275289529123537	0.018291606132873735	1.884979173241443E-4	0.9817083938671198	0.9998115020826652	1.1873745991351796	0.018291606132873735	3.0	1.0	0.5	0.025	0.003275289529123537	4.441250503731898E-5	1.1813577525849968	1.1779955853102586	0.018200586045549097	0.018164979569015426
65.0	1.0	0.34909653931886786	0.022066756350001385	2.29155989443864E-4	0.97793324364999	0.9997708440105464	1.233416424941177	0.022066756350001385	3.0	1.0	0.5	0.025	0.0034909653931886786	5.4184714808401985E-5	1.227142263227198	1.2229073220663318	0.02195694645413537	0.021911374407883693
66.0	1.0	0.3704384403033437	0.0268797767261259	2.819059553550883E-4	0.9731202232738666	0.9997180940446352	1.2767305181544408	0.0268797767261259	3.0	1.0	0.5	0.025	0.003704384403033437	6.6866368442634E-5	1.2702040682979954	1.2647411377930495	0.026746008971342477	0.026686006693216156
